ProjectID,ProjectAKA,OrganizationName,ProjectName,TargetPop,ProjectCountyServed,ProjectAreaServed,ProjectHours,ProjectTelNo,OrgLink,CoCCode,Addresses,City
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Williams,Homeless Planning Region 01,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Defiance,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Fulton,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Henry,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Paulding,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Putnam,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Van Wert,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Williams,Homeless Planning Region 11,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Defiance,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Fulton,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Henry,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Paulding,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Putnam,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Van Wert,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2006,Maumee Valley Guidance Center,"Maumee Valley Guidance Center, Inc.",Defiance - Maumee Valley Guidance Center - AP,Veterans,Williams,SSVF Maumee Valley Guidance Center,"Mon - Fri, 8:00am - 4:30pm",800-569-3980 x2107,<a href='https://www.maumeevalleyguidancecenter.org/' target='_blank'>Maumee Valley Guidance Center</a><small> (#2006)</small>,OH-507,211 Biede Ave,"Defiance, OH 43512"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Allen,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Auglaize,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Champaign,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clark,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clinton,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Darke,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Greene,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Mercer,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Miami,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Preble,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Shelby,Homeless Planning Region 12,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Allen,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Auglaize,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Champaign,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clark,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clinton,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Darke,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Greene,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Mercer,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Miami,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Preble,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Shelby,Homeless Planning Region 13,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Allen,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Auglaize,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Champaign,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clark,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clinton,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Darke,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Greene,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Mercer,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Miami,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Preble,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Shelby,Homeless Planning Region 15,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Allen,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Auglaize,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Champaign,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clark,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clinton,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Darke,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Greene,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Mercer,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Miami,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Preble,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Shelby,Homeless Planning Region 16,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Allen,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Auglaize,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Champaign,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clark,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Clinton,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Darke,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Greene,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Mercer,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Miami,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
2007,St. Vincent de Paul of Dayton,St. Vincent De Paul,Montgomery - St. Vincent de Paul of Dayton - AP,Veterans,Preble,SSVF St Vincent De Paul Council of Dayton,"Mon - Fri, 8:00am - 5:00pm",937-222-0403,<a href='https://stvincentdayton.org/' target='_blank'>St. Vincent de Paul of Dayton</a><small> (#2007)</small>,OH-507,1133 S Edwin C Moses Blvd Suite 285,"Dayton, OH 45417"
